LOC Updated as of: 06/04/25 03:28:42
Cloc Analysis Results
=====================

Analyzing DigipenEngine/7percent:

github.com/AlDanial/cloc v 1.90  T=4.05 s (86.0 files/s, 22697.2 lines/s)
-------------------------------------------------------------------------------------------------------------
File                                                                      blank        comment           code
-------------------------------------------------------------------------------------------------------------
DigipenEngine/7percent/fa.h                                                  48            129           4880
DigipenEngine/7percent/ryan-c/Renderer.cpp                                  507            343           2422
DigipenEngine/7percent/BossAIComponent.cpp                                  374            114           1557
DigipenEngine/7percent/AssetBrowser.cpp                                     283            270           1439
DigipenEngine/7percent/IconsFontAwesome6.h                                    2              3           1396
DigipenEngine/7percent/ryan-c/VulkanContext.cpp                             307            280           1311
DigipenEngine/7percent/Properties.h                                         212            300           1096
DigipenEngine/7percent/percentmath.h                                        543           1329           1010
DigipenEngine/7percent/ECSInternal.cpp                                      191            159            863
DigipenEngine/7percent/CSScripting.cpp                                      211            213            836
DigipenEngine/7percent/ScriptGlue.cpp                                       181            768            829
DigipenEngine/7percent/Collision.cpp                                        155             86            804
DigipenEngine/7percent/GUICollection.h                                      198            674            702
DigipenEngine/7percent/GUICollection.cpp                                     94             24            683
DigipenEngine/7percent/SceneManagement.cpp                                  170            120            663
DigipenEngine/7percent/Hierarchy.cpp                                        146            159            650
DigipenEngine/7percent/Player.cpp                                           113            106            642
DigipenEngine/7percent/Engine.cpp                                           103             90            639
DigipenEngine/7percent/EnemyStateMachine.cpp                                144             90            615
DigipenEngine/7percent/Editor.cpp                                           104             96            595
DigipenEngine/7percent/ECSInternal.ipp                                      112             45            587
DigipenEngine/7percent/AudioManager.cpp                                     110             81            568
DigipenEngine/7percent/Serializer.cpp                                       104             71            532
DigipenEngine/7percent/EnemySpawnSystem.cpp                                 127             58            531
DigipenEngine/7percent/ECSInternal.h                                        284           1790            523
DigipenEngine/7percent/Weapon.cpp                                            98             87            456
DigipenEngine/7percent/ScriptComponent.cpp                                   94            115            447
DigipenEngine/7percent/Button.cpp                                            66             70            446
DigipenEngine/7percent/GameOver.cpp                                          76             92            419
DigipenEngine/7percent/Bullet.cpp                                            95             84            415
DigipenEngine/7percent/Console.cpp                                           63             55            408
DigipenEngine/7percent/ResourceManager.cpp                                   79             37            385
DigipenEngine/7percent/Gizmo.cpp                                             71             70            375
DigipenEngine/7percent/BossAIComponent.h                                    186            831            357
DigipenEngine/7percent/Health.cpp                                            72             35            349
DigipenEngine/7percent/CustomViewport.cpp                                    64             48            343
DigipenEngine/7percent/ryan-c/VkInit.cpp                                     70             48            336
DigipenEngine/7percent/ryan-c/TextureManager.cpp                             69             32            332
DigipenEngine/7percent/Transform.cpp                                         68             56            330
DigipenEngine/7percent/ECS.cpp                                               84             62            302
DigipenEngine/7percent/CutsceneManager.cpp                                   49             23            293
DigipenEngine/7percent/ryan-c/VulkanHelper.cpp                               65             35            287
DigipenEngine/7percent/EnemyStateMachine.h                                  123            506            286
DigipenEngine/7percent/RenderComponent.cpp                                   56             35            282
DigipenEngine/7percent/Physics.cpp                                           59             51            257
DigipenEngine/7percent/Collision.h                                          129            755            255
DigipenEngine/7percent/MaskTemplate.h                                        55            206            246
DigipenEngine/7percent/GameManager.cpp                                       46             35            237
DigipenEngine/7percent/TrailComponent.cpp                                    52             31            228
DigipenEngine/7percent/CeilingTurret.cpp                                     30             32            226
DigipenEngine/7percent/ryan-c/Swapchain.cpp                                  62             25            218
DigipenEngine/7percent/GUICollection.ipp                                     30              4            217
DigipenEngine/7percent/ryan-c/PipelineManager.cpp                            37             23            216
DigipenEngine/7percent/ryan-c/Renderer.h                                     40             35            215
DigipenEngine/7percent/TextComponent.cpp                                     28             28            198
DigipenEngine/7percent/Weapon.h                                              46            118            197
DigipenEngine/7percent/game.cpp                                              40             36            195
DigipenEngine/7percent/Materials.cpp                                         57             35            194
DigipenEngine/7percent/Shield.cpp                                            36             64            184
DigipenEngine/7percent/ArmPivotIK.cpp                                        31             26            178
DigipenEngine/7percent/Performance.cpp                                       41             34            177
DigipenEngine/7percent/ECS.ipp                                               48             26            174
DigipenEngine/7percent/CheatCodes.cpp                                        40             38            171
DigipenEngine/7percent/Checkpoint.cpp                                        33             22            171
DigipenEngine/7percent/Utilities.h                                           47            263            171
DigipenEngine/7percent/EntityUID.cpp                                         36             25            169
DigipenEngine/7percent/Health.h                                              52            215            166
DigipenEngine/7percent/Character.cpp                                         26             24            164
DigipenEngine/7percent/EditorHistory.h                                       57            294            160
DigipenEngine/7percent/Serializer.ipp                                        37             43            160
DigipenEngine/7percent/GameSystems.cpp                                       21             19            154
DigipenEngine/7percent/Slider.cpp                                            48             20            154
DigipenEngine/7percent/EntityLayers.h                                        57            219            151
DigipenEngine/7percent/Input.cpp                                             30             22            151
DigipenEngine/7percent/Bullet.h                                              48            229            147
DigipenEngine/7percent/CSScripting.h                                         95            459            147
DigipenEngine/7percent/ECS.h                                                108            697            144
DigipenEngine/7percent/ryan-c/Device.cpp                                     32             18            144
DigipenEngine/7percent/EditorHistory.cpp                                     34             24            142
DigipenEngine/7percent/PrefabManager.h                                       28             40            141
DigipenEngine/7percent/AnimatorComponent.cpp                                 33             21            139
DigipenEngine/7percent/EnemySpawnSystem.h                                    68            231            139
DigipenEngine/7percent/SceneManagement.h                                    105            670            136
DigipenEngine/7percent/StateMachine.h                                        66            276            135
DigipenEngine/7percent/StateMachine.cpp                                      34             19            131
DigipenEngine/7percent/GameSettings.cpp                                      34             28            126
DigipenEngine/7percent/Door.cpp                                              26             26            123
DigipenEngine/7percent/ryan-c/VulkanContext.h                                32             42            114
DigipenEngine/7percent/Serializer.h                                          67            349            113
DigipenEngine/7percent/Physics.h                                             52            255            112
DigipenEngine/7percent/ryan-c/CommandManager.cpp                             26             19            110
DigipenEngine/7percent/EnemyStateMachine.ipp                                 25             25            108
DigipenEngine/7percent/Input.h                                               49            123            108
DigipenEngine/7percent/IntelViewer.cpp                                       26             44            108
DigipenEngine/7percent/LightComponent.cpp                                    24             29            106
DigipenEngine/7percent/DropPodComponent.cpp                                  19             18            103
DigipenEngine/7percent/Filesystem.cpp                                        29             19            102
DigipenEngine/7percent/Parallax.cpp                                          33             34            102
DigipenEngine/7percent/IRegisteredComponent.h                                40            124            101
